image_number,subjects,fonds_title,creator,description,image_title,names,creation_date,image_url
EA-207-519,,,Phil Cox,,The Boot Factory giant boot,: Boot Factory,1990-5-6,https://archivesphotos.edmonton.ca/Presto/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=NDYzMDc=&pID=MTU3&tSize=MjAw&uSesDM=False&rIdx=MjMyNDE=&rCFU=&aw=Q2l0YXRpb258dmlld0lEXzUwODY3fHZpZXdpdGVtSURfNTA5Mzg=
EA-207-520,,,Phil Cox,,The Boot Factory giant boot,: Boot Factory,1990-5-23,https://archivesphotos.edmonton.ca/Presto/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=NDYzMDg=&pID=MTU3&tSize=MjAw&uSesDM=False&rIdx=MjMyNDI=&rCFU=&aw=Q2l0YXRpb258dmlld0lEXzUwODY3fHZpZXdpdGVtSURfNTA5Mzg=
EA-207-525,,,Phil Cox,,Northlands Race Track,: Northlands,1990-5-19,https://archivesphotos.edmonton.ca/Presto/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=NDYzMTM=&pID=MTU3&tSize=MjAw&uSesDM=False&rIdx=MjMyNDc=&rCFU=&aw=Q2l0YXRpb258dmlld0lEXzUwODY3fHZpZXdpdGVtSURfNTA5Mzg=
EA-207-530,Hospitals,,Phil Cox,: This hospital is located at 111th Avenue an 103rd Street.,Glenrose Hospital,: Glenrose Hospital,1990-5-21,https://archivesphotos.edmonton.ca/Presto/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=NDYzMTg=&pID=MTU3&tSize=MjAw&uSesDM=False&rIdx=MjMyNTI=&rCFU=&aw=Q2l0YXRpb258dmlld0lEXzUwODY3fHZpZXdpdGVtSURfNTA5Mzg=
EA-207-532,,,Phil Cox,,Londonderry Shopping Centre parkade - demolition,: Londonderry Shopping Centre Londonderry Mall,1990-5-21,https://archivesphotos.edmonton.ca/Presto/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=NDYzMjA=&pID=MTU3&tSize=MjAw&uSesDM=False&rIdx=MjMyNTQ=&rCFU=&aw=Q2l0YXRpb258dmlld0lEXzUwODY3fHZpZXdpdGVtSURfNTA5Mzg=
EA-207-533,,,Phil Cox,,Londonderry Shopping Centre parkade - demolition,: Londonderry Shopping Centre Londonderry Mall,1990-4-8,https://archivesphotos.edmonton.ca/Presto/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=NDYzMjE=&pID=MTU3&tSize=MjAw&uSesDM=False&rIdx=MjMyNTU=&rCFU=&aw=Q2l0YXRpb258dmlld0lEXzUwODY3fHZpZXdpdGVtSURfNTA5Mzg=
EA-207-534,Churches,,Phil Cox,,Holy Trinity Anglican Church,: Holy Trinity Anglican Church,1990-4-4,https://archivesphotos.edmonton.ca/Presto/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=NDYzMjI=&pID=MTU3&tSize=MjAw&uSesDM=False&rIdx=MjMyNTY=&rCFU=&aw=Q2l0YXRpb258dmlld0lEXzUwODY3fHZpZXdpdGVtSURfNTA5Mzg=
EA-207-535,Churches,,Phil Cox,,Holy Trinity Anglican Church - west wall,: Holy Trinity Anglican Church,1990-4-4,https://archivesphotos.edmonton.ca/Presto/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=NDYzMjM=&pID=MTU3&tSize=MjAw&uSesDM=False&rIdx=MjMyNTc=&rCFU=&aw=Q2l0YXRpb258dmlld0lEXzUwODY3fHZpZXdpdGVtSURfNTA5Mzg=
EA-207-536,,,Phil Cox,,Commerce Place,: Commerce Place,1990-10-30,https://archivesphotos.edmonton.ca/Presto/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=NDYzMjQ=&pID=MTU3&tSize=MjAw&uSesDM=False&rIdx=MjMyNTg=&rCFU=&aw=Q2l0YXRpb258dmlld0lEXzUwODY3fHZpZXdpdGVtSURfNTA5Mzg=
EA-207-537,,,Phil Cox,,Canadian Imperial Bank of Commerce,: Canadian Imperial Bank of Commerce,1990-10-30,https://archivesphotos.edmonton.ca/Presto/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=NDYzMjU=&pID=MTU3&tSize=MjAw&uSesDM=False&rIdx=MjMyNTk=&rCFU=&aw=Q2l0YXRpb258dmlld0lEXzUwODY3fHZpZXdpdGVtSURfNTA5Mzg=
EA-207-538,,,Phil Cox,: This plaque is located below the bust of Maude Bowman on the 100th Avenue Heritage Walk along the north riverbank in the Oliver Neighbourhood (between 117th and 121st Streets.,Plaque - Maude Bowman,: Maude Bowman,1990-10-30,https://archivesphotos.edmonton.ca/Presto/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=NDYzMjY=&pID=MTU3&tSize=MjAw&uSesDM=False&rIdx=MjMyNjA=&rCFU=&aw=Q2l0YXRpb258dmlld0lEXzUwODY3fHZpZXdpdGVtSURfNTA5Mzg=
EA-207-539,,,Phil Cox,,Edmonton Journal building - under construction,: Edmonton Journal,1990-10-30,https://archivesphotos.edmonton.ca/Presto/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=NDYzMjc=&pID=MTU3&tSize=MjAw&uSesDM=False&rIdx=MjMyNjE=&rCFU=&aw=Q2l0YXRpb258dmlld0lEXzUwODY3fHZpZXdpdGVtSURfNTA5Mzg=
EA-207-541,,,Phil Cox,: This plaque is carved into the stone side of the Hudson's Bay Building located on Jasper Avenue between 103rd and 102nd Streets. The building was renamed Enterprise Square in 2008.,Hudson's Bay Company Coat of Arms and history plaque.,: Hudson's Bay Company Enterprise Square,1990-10-30,https://archivesphotos.edmonton.ca/Presto/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=NDYzMjk=&pID=MTU3&tSize=MjAw&uSesDM=False&rIdx=MjMyNjM=&rCFU=&aw=Q2l0YXRpb258dmlld0lEXzUwODY3fHZpZXdpdGVtSURfNTA5Mzg=
EA-207-543,,,Phil Cox,,Bridge - Jasper Avenue and 91st Street,,1990-4-4,https://archivesphotos.edmonton.ca/Presto/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=NDYzMzE=&pID=MTU3&tSize=MjAw&uSesDM=False&rIdx=MjMyNjU=&rCFU=&aw=Q2l0YXRpb258dmlld0lEXzUwODY3fHZpZXdpdGVtSURfNTA5Mzg=
EA-207-547,Buildings,,Phil Cox,,Apartments along Jasper Avenue east,: Jasper Avenue,1990-4-4,https://archivesphotos.edmonton.ca/Presto/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=NDYzMzU=&pID=MTU3&tSize=MjAw&uSesDM=False&rIdx=MjMyNjk=&rCFU=&aw=Q2l0YXRpb258dmlld0lEXzUwODY3fHZpZXdpdGVtSURfNTA5Mzg=
EA-207-548,,,Phil Cox,,Houses along Jasper Avenue east,: Jasper Avenue,1990-4-4,https://archivesphotos.edmonton.ca/Presto/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=NDYzMzY=&pID=MTU3&tSize=MjAw&uSesDM=False&rIdx=MjMyNzA=&rCFU=&aw=Q2l0YXRpb258dmlld0lEXzUwODY3fHZpZXdpdGVtSURfNTA5Mzg=
EA-207-555,,,Phil Cox,,Kinsmen Big Sisters house,: Big Sisters' Association of Edmonton Big Sister House,1990-4-16,https://archivesphotos.edmonton.ca/Presto/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=NDYzNDU=&pID=MTU3&tSize=MjAw&uSesDM=False&rIdx=MjMyNzc=&rCFU=&aw=Q2l0YXRpb258dmlld0lEXzUwODY3fHZpZXdpdGVtSURfNTA5Mzg=
EA-207-556,,,Phil Cox,,Siggy's Place - sign,: Siggy's Place,1990-5-8,https://archivesphotos.edmonton.ca/Presto/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=NDYzNDY=&pID=MTU3&tSize=MjAw&uSesDM=False&rIdx=MjMyNzg=&rCFU=&aw=Q2l0YXRpb258dmlld0lEXzUwODY3fHZpZXdpdGVtSURfNTA5Mzg=
EA-207-558,,,Phil Cox,,Christian Reformed Church - under construction,: West End Christian Reformed Church,1990-5-8,https://archivesphotos.edmonton.ca/Presto/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=NDYzNDg=&pID=MTU3&tSize=MjAw&uSesDM=False&rIdx=MjMyODA=&rCFU=&aw=Q2l0YXRpb258dmlld0lEXzUwODY3fHZpZXdpdGVtSURfNTA5Mzg=
EA-207-559,,,Phil Cox,,Christian Reformed Church - under construction,: West End Christian Reformed Church,1990-5-8,https://archivesphotos.edmonton.ca/Presto/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=NDYzNDk=&pID=MTU3&tSize=MjAw&uSesDM=False&rIdx=MjMyODE=&rCFU=&aw=Q2l0YXRpb258dmlld0lEXzUwODY3fHZpZXdpdGVtSURfNTA5Mzg=
EA-207-560,,,Phil Cox,,Christian Reformed Church - under construction,: West End Christian Reformed Church,1990-5-8,https://archivesphotos.edmonton.ca/Presto/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=NDYzNTA=&pID=MTU3&tSize=MjAw&uSesDM=False&rIdx=MjMyODI=&rCFU=&aw=Q2l0YXRpb258dmlld0lEXzUwODY3fHZpZXdpdGVtSURfNTA5Mzg=
EA-207-568,,,Phil Cox,": Buildings included in this view are the Canadian Imperial Bank of Commerce, Manulife Place, the MetroLife Tower and two pedways over 101 Street.",,: Downtown 101 Street,1990-10-30,https://archivesphotos.edmonton.ca/Presto/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=NDYzNjA=&pID=MTU3&tSize=MjAw&uSesDM=False&rIdx=MjMyOTI=&rCFU=&aw=Q2l0YXRpb258dmlld0lEXzUwODY3fHZpZXdpdGVtSURfNTA5Mzg=
EA-207-573,,,Phil Cox,,New Safeway store near Grant MacEwan College,: Safeways,1990-9-16,https://archivesphotos.edmonton.ca/Presto/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=NDYzNjM=&pID=MTU3&tSize=MjAw&uSesDM=False&rIdx=MjMyOTU=&rCFU=&aw=Q2l0YXRpb258dmlld0lEXzUwODY3fHZpZXdpdGVtSURfNTA5Mzg=
EA-207-574,,,Phil Cox,,New Safeway store near Grant MacEwan College,: Safeways,1990-9-16,https://archivesphotos.edmonton.ca/Presto/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=NDYzNjQ=&pID=MTU3&tSize=MjAw&uSesDM=False&rIdx=MjMyOTY=&rCFU=&aw=Q2l0YXRpb258dmlld0lEXzUwODY3fHZpZXdpdGVtSURfNTA5Mzg=
EA-207-575,,,Phil Cox,": This memorial to Maude Bowman is found along the Heritage Walk portion located on 100th Avenue between 117th and 120th Streets, in the Oliver neighbourhood.",Bust of Maude Bowman,: Bowman,1990-10-30,https://archivesphotos.edmonton.ca/Presto/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=NDYzNjU=&pID=MTU3&tSize=MjAw&uSesDM=False&rIdx=MjMyOTc=&rCFU=&aw=Q2l0YXRpb258dmlld0lEXzUwODY3fHZpZXdpdGVtSURfNTA5Mzg=
EA-207-576,,,Phil Cox,,Sailing ship - Hudson's Bay Company Transport,: Hudson's Bay Company,1990-10-30,https://archivesphotos.edmonton.ca/Presto/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=NDYzNjY=&pID=MTU3&tSize=MjAw&uSesDM=False&rIdx=MjMyOTg=&rCFU=&aw=Q2l0YXRpb258dmlld0lEXzUwODY3fHZpZXdpdGVtSURfNTA5Mzg=
EA-207-577,,,Phil Cox,,Red River Cart Freighter - Hudson's Bay Company Transport,: Hudson's Bay Company,1990-10-30,https://archivesphotos.edmonton.ca/Presto/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=NDYzNjc=&pID=MTU3&tSize=MjAw&uSesDM=False&rIdx=MjMyOTk=&rCFU=&aw=Q2l0YXRpb258dmlld0lEXzUwODY3fHZpZXdpdGVtSURfNTA5Mzg=
EA-207-578,,,Phil Cox,,Tegler Manor - architectural detail of front entrance and name plate.,: Tegler Manor,1990-5-21,https://archivesphotos.edmonton.ca/Presto/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=NDYzNjg=&pID=MTU3&tSize=MjAw&uSesDM=False&rIdx=MjMzMDA=&rCFU=&aw=Q2l0YXRpb258dmlld0lEXzUwODY3fHZpZXdpdGVtSURfNTA5Mzg=
EA-207-579,,,Phil Cox,,Tegler Manor - detail of front entrance.,: Tegler Manor,1990-5-21,https://archivesphotos.edmonton.ca/Presto/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=NDYzNjk=&pID=MTU3&tSize=MjAw&uSesDM=False&rIdx=MjMzMDE=&rCFU=&aw=Q2l0YXRpb258dmlld0lEXzUwODY3fHZpZXdpdGVtSURfNTA5Mzg=
EA-207-58,,,Phil Cox,,Brighton Block,: Brighton Block,1976-01-01,https://archivesphotos.edmonton.ca/Presto/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=NDU4NTU=&pID=MTU3&tSize=MjAw&uSesDM=False&rIdx=MjI3OTA=&rCFU=&aw=Q2l0YXRpb258dmlld0lEXzUwODY3fHZpZXdpdGVtSURfNTA5Mzg=
EA-207-580,,,Phil Cox,,Tegler Manor,: Tegler Manor,1990-5-21,https://archivesphotos.edmonton.ca/Presto/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=NDYzNzA=&pID=MTU3&tSize=MjAw&uSesDM=False&rIdx=MjMzMDI=&rCFU=&aw=Q2l0YXRpb258dmlld0lEXzUwODY3fHZpZXdpdGVtSURfNTA5Mzg=
EA-207-584,,,Phil Cox,,Alexander Circle - Percy Page Fountain,: Alexander Circle,1990-7-7,https://archivesphotos.edmonton.ca/Presto/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=NDYzNzQ=&pID=MTU3&tSize=MjAw&uSesDM=False&rIdx=MjMzMDY=&rCFU=&aw=Q2l0YXRpb258dmlld0lEXzUwODY3fHZpZXdpdGVtSURfNTA5Mzg=
EA-207-589,,,Phil Cox,,Construction of 104th Avenue shopping centre,,1989-11-23,https://archivesphotos.edmonton.ca/Presto/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=NDYzNzk=&pID=MTU3&tSize=MjAw&uSesDM=False&rIdx=MjMzMTE=&rCFU=&aw=Q2l0YXRpb258dmlld0lEXzUwODY3fHZpZXdpdGVtSURfNTA5Mzg=
EA-207-59,,,Phil Cox,,Skylight-Rene LeMarchand Mansion,: LeMarchand Mansion,1985-07-23,https://archivesphotos.edmonton.ca/Presto/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=NDU4NTY=&pID=MTU3&tSize=MjAw&uSesDM=False&rIdx=MjI3OTE=&rCFU=&aw=Q2l0YXRpb258dmlld0lEXzUwODY3fHZpZXdpdGVtSURfNTA5Mzg=
EA-207-590,,,Phil Cox,,,,1989-11-23,https://archivesphotos.edmonton.ca/Presto/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=NDYzODA=&pID=MTU3&tSize=MjAw&uSesDM=False&rIdx=MjMzMTI=&rCFU=&aw=Q2l0YXRpb258dmlld0lEXzUwODY3fHZpZXdpdGVtSURfNTA5Mzg=
EA-207-591,,,Phil Cox,,Construction of 104th Avenue shopping centre.,,1989-11-23,https://archivesphotos.edmonton.ca/Presto/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=NDYzODE=&pID=MTU3&tSize=MjAw&uSesDM=False&rIdx=MjMzMTM=&rCFU=&aw=Q2l0YXRpb258dmlld0lEXzUwODY3fHZpZXdpdGVtSURfNTA5Mzg=
EA-207-595,,,Phil Cox,,Glenrose Hospital,: Glenrose Hospital,1990-2-25,https://archivesphotos.edmonton.ca/Presto/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=NDYzODY=&pID=MTU3&tSize=MjAw&uSesDM=False&rIdx=MjMzMTc=&rCFU=&aw=Q2l0YXRpb258dmlld0lEXzUwODY3fHZpZXdpdGVtSURfNTA5Mzg=
EA-207-596,,,Phil Cox,,Glenrose Hospital,: Glenrose Hospital,1990-2-25,https://archivesphotos.edmonton.ca/Presto/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=NDYzODc=&pID=MTU3&tSize=MjAw&uSesDM=False&rIdx=MjMzMTg=&rCFU=&aw=Q2l0YXRpb258dmlld0lEXzUwODY3fHZpZXdpdGVtSURfNTA5Mzg=
EA-207-597,,,Phil Cox,,Gainers Plant - before demolition,: Gainers Limited,1990-4-11,https://archivesphotos.edmonton.ca/Presto/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=NDYzODg=&pID=MTU3&tSize=MjAw&uSesDM=False&rIdx=MjMzMTk=&rCFU=&aw=Q2l0YXRpb258dmlld0lEXzUwODY3fHZpZXdpdGVtSURfNTA5Mzg=
EA-207-598,,,Phil Cox,,Gainers Plant - before demolition,: Gainers Limited,1990-4-11,https://archivesphotos.edmonton.ca/Presto/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=NDYzODk=&pID=MTU3&tSize=MjAw&uSesDM=False&rIdx=MjMzMjA=&rCFU=&aw=Q2l0YXRpb258dmlld0lEXzUwODY3fHZpZXdpdGVtSURfNTA5Mzg=
EA-207-60,,,Phil Cox,,Skylight-Rene LeMarchand Mansion,: LeMarchand Mansion,1985-07-23,https://archivesphotos.edmonton.ca/Presto/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=NDU4NTc=&pID=MTU3&tSize=MjAw&uSesDM=False&rIdx=MjI3OTI=&rCFU=&aw=Q2l0YXRpb258dmlld0lEXzUwODY3fHZpZXdpdGVtSURfNTA5Mzg=
EA-207-601,,,Phil Cox,,Plaque - Ronald McDonald House,: Ronald McDonald House,1989-7-30,https://archivesphotos.edmonton.ca/Presto/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=NDYzOTI=&pID=MTU3&tSize=MjAw&uSesDM=False&rIdx=MjMzMjM=&rCFU=&aw=Q2l0YXRpb258dmlld0lEXzUwODY3fHZpZXdpdGVtSURfNTA5Mzg=
EA-207-604,,,Phil Cox,: The hospital is located at 111th Avenue and 103 Street.,Glenrose Hospital power plant,,1990-9-1,https://archivesphotos.edmonton.ca/Presto/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=NDYzOTU=&pID=MTU3&tSize=MjAw&uSesDM=False&rIdx=MjMzMjY=&rCFU=&aw=Q2l0YXRpb258dmlld0lEXzUwODY3fHZpZXdpdGVtSURfNTA5Mzg=
EA-207-606,,,Phil Cox,: The Glenrose is located on 111th Avenue about 103rd Street.,Glenrose Rehabilitation Hospital - west wing,: Glenrose Hospital; Glenrose Rehabilitation Hospital,1990-9-1,https://archivesphotos.edmonton.ca/Presto/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=NDYzOTc=&pID=MTU3&tSize=MjAw&uSesDM=False&rIdx=MjMzMjg=&rCFU=&aw=Q2l0YXRpb258dmlld0lEXzUwODY3fHZpZXdpdGVtSURfNTA5Mzg=
EA-207-607,,,Phil Cox,: The Glenrose is located on 111th Avenue about 103rd Street.,Glenrose Rehabilitation Hospital - entrance,: Glenrose Hospital; Glenrose Rehabilitation Hospital,1990-9-1,https://archivesphotos.edmonton.ca/Presto/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=NDYzOTg=&pID=MTU3&tSize=MjAw&uSesDM=False&rIdx=MjMzMjk=&rCFU=&aw=Q2l0YXRpb258dmlld0lEXzUwODY3fHZpZXdpdGVtSURfNTA5Mzg=
EA-207-608,,,Phil Cox,: The Glenrose is located on 111th Avenue about 103rd Street.,Glenrose Rehabilitation Hospital - new wing,: Glenrose Hospital; Glenrose Rehabilitation Hospital,1990-9-1,https://archivesphotos.edmonton.ca/Presto/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=NDYzOTk=&pID=MTU3&tSize=MjAw&uSesDM=False&rIdx=MjMzMzA=&rCFU=&aw=Q2l0YXRpb258dmlld0lEXzUwODY3fHZpZXdpdGVtSURfNTA5Mzg=
EA-207-610,,,Phil Cox,,Centre Culturel Marie-Anne Gaboury d'Edmonton,: Centre Culturel Marie-Anne Gaboury d'Edmonton,1990-4-21,https://archivesphotos.edmonton.ca/Presto/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=NDY0MDE=&pID=MTU3&tSize=MjAw&uSesDM=False&rIdx=MjMzMzI=&rCFU=&aw=Q2l0YXRpb258dmlld0lEXzUwODY3fHZpZXdpdGVtSURfNTA5Mzg=
EA-207-611,,,Phil Cox,,Centre Culturel Marie-Anne Gaboury d'Edmonton,: Centre Culturel Marie-Anne Gaboury d'Edmonton,1991-4-21,https://archivesphotos.edmonton.ca/Presto/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=NDY0MDI=&pID=MTU3&tSize=MjAw&uSesDM=False&rIdx=MjMzMzM=&rCFU=&aw=Q2l0YXRpb258dmlld0lEXzUwODY3fHZpZXdpdGVtSURfNTA5Mzg=
EA-207-612,,,Phil Cox,,Church of Jesus Christ of Latter-Day Saints,: Church of Jesus Christ of Latter-Day Saints; Mormons,1991-5-1,https://archivesphotos.edmonton.ca/Presto/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=NDY0MDM=&pID=MTU3&tSize=MjAw&uSesDM=False&rIdx=MjMzMzQ=&rCFU=&aw=Q2l0YXRpb258dmlld0lEXzUwODY3fHZpZXdpdGVtSURfNTA5Mzg=
EA-207-613,,,Phil Cox,,Church of Jesus Christ of Latter-Day Saints - sign,: Church of Jesus Christ of Latter-Day Saints; Mormons,1991-5-1,https://archivesphotos.edmonton.ca/Presto/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=NDY0MDQ=&pID=MTU3&tSize=MjAw&uSesDM=False&rIdx=MjMzMzU=&rCFU=&aw=Q2l0YXRpb258dmlld0lEXzUwODY3fHZpZXdpdGVtSURfNTA5Mzg=
EA-207-616,,,Phil Cox,: This temple is located at 91 Avenue and 76 Street.,Salvation Army Edmonton Temple,: Salvation Army,1991-4-21,https://archivesphotos.edmonton.ca/Presto/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=NDY0MDc=&pID=MTU3&tSize=MjAw&uSesDM=False&rIdx=MjMzMzg=&rCFU=&aw=Q2l0YXRpb258dmlld0lEXzUwODY3fHZpZXdpdGVtSURfNTA5Mzg=
EA-207-617,,,Phil Cox,,Centre Culturel Marie-Anne Gaboury d'Edmonton,: Centre Culturel Marie-Anne Gaboury d'Edmonton,1991-4-21,https://archivesphotos.edmonton.ca/Presto/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=NDY0MDg=&pID=MTU3&tSize=MjAw&uSesDM=False&rIdx=MjMzMzk=&rCFU=&aw=Q2l0YXRpb258dmlld0lEXzUwODY3fHZpZXdpdGVtSURfNTA5Mzg=
EA-207-62,,,Phil Cox,: Dominion Hotel located on Whyte Avenue between 104th and 105th Streets,Dominion Hotel,: Dominion Hotel,1986-06-30,https://archivesphotos.edmonton.ca/Presto/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=NDU4NTk=&pID=MTU3&tSize=MjAw&uSesDM=False&rIdx=MjI3OTQ=&rCFU=&aw=Q2l0YXRpb258dmlld0lEXzUwODY3fHZpZXdpdGVtSURfNTA5Mzg=
EA-207-622,,,Phil Cox,: This centre is located at 87th Street and Whyte Avenue.,Centre Culturel Marie-Anne Gaboury d'Edmonton,: Centre Culturel Marie-Anne Gaboury d'Edmonton,1991-4-21,https://archivesphotos.edmonton.ca/Presto/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=NDY0MTM=&pID=MTU3&tSize=MjAw&uSesDM=False&rIdx=MjMzNDQ=&rCFU=&aw=Q2l0YXRpb258dmlld0lEXzUwODY3fHZpZXdpdGVtSURfNTA5Mzg=
