image_number,subjects,fonds_title,creator,description,image_title,names,creation_date,image_url
EA-10-1062,,Northern Alberta Pioneers and Old Timers' Association fonds,,: Buildings - Houses Bridges - Groat Ravine Bridge Streets - 102 Avenue - Clifton Place,Groat Ravine Bridge Looking South East,,1920,https://archivesphotos.edmonton.ca/Presto/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=Mjk1ODg=&pID=MTU3&tSize=MjAw&uSesDM=False&rIdx=MTY3MzY=&rCFU=&aw=Q2l0YXRpb258dmlld0lEXzUwODY3fHZpZXdpdGVtSURfNTA5Mzg=
EA-10-1064,,Northern Alberta Pioneers and Old Timers' Association fonds,,,Jasper Avenue Looking West,,1920,https://archivesphotos.edmonton.ca/Presto/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=Mjk1OTA=&pID=MTU3&tSize=MjAw&uSesDM=False&rIdx=MTY3Mzg=&rCFU=&aw=Q2l0YXRpb258dmlld0lEXzUwODY3fHZpZXdpdGVtSURfNTA5Mzg=
EA-10-1084,,Northern Alberta Pioneers and Old Timers' Association fonds,,: Celebrations - Parade Business - Melton Real Estate - Safeway Streets - 102 Avenue,Canora Tot Lot Opening Parade,,1956,https://archivesphotos.edmonton.ca/Presto/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=Mjk2MTM=&pID=MTU3&tSize=MjAw&uSesDM=False&rIdx=MTY3NjE=&rCFU=&aw=Q2l0YXRpb258dmlld0lEXzUwODY3fHZpZXdpdGVtSURfNTA5Mzg=
EA-10-1118,,Northern Alberta Pioneers and Old Timers' Association fonds,,,Jasper Avenue Looking West from 102 Street,,1904,https://archivesphotos.edmonton.ca/Presto/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=Mjk2NTA=&pID=MTU3&tSize=MjAw&uSesDM=False&rIdx=MTY3OTg=&rCFU=&aw=Q2l0YXRpb258dmlld0lEXzUwODY3fHZpZXdpdGVtSURfNTA5Mzg=
EA-10-1120,,Northern Alberta Pioneers and Old Timers' Association fonds,,: Bridges 105 Street (Walterdale) North Saskatchewan River B... First Presbyterian Schools - McKay Avenue,105 Street Bridge Under Construction,,1912,https://archivesphotos.edmonton.ca/Presto/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=Mjk2NTM=&pID=MTU3&tSize=MjAw&uSesDM=False&rIdx=MTY4MDE=&rCFU=&aw=Q2l0YXRpb258dmlld0lEXzUwODY3fHZpZXdpdGVtSURfNTA5Mzg=
EA-10-1123,,Northern Alberta Pioneers and Old Timers' Association fonds,,,Civic Block,,1952,https://archivesphotos.edmonton.ca/Presto/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=Mjk2NTY=&pID=MTU3&tSize=MjAw&uSesDM=False&rIdx=MTY4MDQ=&rCFU=&aw=Q2l0YXRpb258dmlld0lEXzUwODY3fHZpZXdpdGVtSURfNTA5Mzg=
EA-10-1127,,Northern Alberta Pioneers and Old Timers' Association fonds,,,Police Headquarters Bldg. - Former Civic Block,,1965,https://archivesphotos.edmonton.ca/Presto/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=Mjk2NjA=&pID=MTU3&tSize=MjAw&uSesDM=False&rIdx=MTY4MDg=&rCFU=&aw=Q2l0YXRpb258dmlld0lEXzUwODY3fHZpZXdpdGVtSURfNTA5Mzg=
EA-10-1129,,Northern Alberta Pioneers and Old Timers' Association fonds,McDermid Studios No. 18913-2,: Located at 99th Street & 102 Avenue Buildings Civic Blo...,Civic Block,,"January 4, 1957",https://archivesphotos.edmonton.ca/Presto/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=Mjk2NjI=&pID=MTU3&tSize=MjAw&uSesDM=False&rIdx=MTY4MTA=&rCFU=&aw=Q2l0YXRpb258dmlld0lEXzUwODY3fHZpZXdpdGVtSURfNTA5Mzg=
EA-10-1132,,Northern Alberta Pioneers and Old Timers' Association fonds,McDermid #1217,: Rossdale Buildings - Houses - Children's Shelter (Rossdale Apts.) - Rossdale Apartments - Campbell & Ottewell Elevator Schools - Donald Ross School,Edmonton from 107 Street & 97 Avenue,,1915,https://archivesphotos.edmonton.ca/Presto/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=Mjk2NjY=&pID=MTU3&tSize=MjAw&uSesDM=False&rIdx=MTY4MTQ=&rCFU=&aw=Q2l0YXRpb258dmlld0lEXzUwODY3fHZpZXdpdGVtSURfNTA5Mzg=
EA-10-1136,,Northern Alberta Pioneers and Old Timers' Association fonds,McDermid Studios,,102 Street & 102 Avenue Looking North-East,,1930,https://archivesphotos.edmonton.ca/Presto/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=Mjk2NzA=&pID=MTU3&tSize=MjAw&uSesDM=False&rIdx=MTY4MTg=&rCFU=&aw=Q2l0YXRpb258dmlld0lEXzUwODY3fHZpZXdpdGVtSURfNTA5Mzg=
